URLs,Name
https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol1/pdf/CFR-2023-title5-vol1.pdf,CFR | Title 5 | Adminstrative Personnel | Parts 1 to 699
https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol2/pdf/CFR-2023-title5-vol2.pdf,CFR | Title 5 | Adminstrative Personnel | Parts 700 to 1199
https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol3/pdf/CFR-2023-title5-vol3.pdf,CFR | Title 5 | Adminstrative Personnel | Parts 1200 to End
https://www.govinfo.gov/content/pkg/CFR-2023-title32-vol1/pdf/CFR-2023-title32-vol1.pdf,CFR | Title 32 | National Defesne | Parts 1 to 190
https://www.govinfo.gov/content/pkg/CFR-2023-title32-vol2/pdf/CFR-2023-title32-vol2.pdf,CFR | Title 32 | National Defesne | Parts 190 to 399
https://www.govinfo.gov/content/pkg/CFR-2023-title32-vol3/pdf/CFR-2023-title32-vol3.pdf,CFR | Title 32 | National Defesne | Parts 400 to 629
https://www.govinfo.gov/content/pkg/CFR-2023-title32-vol6/pdf/CFR-2023-title32-vol6.pdf,CFR | Title 32 | National Defesne | Parts 800 to End
https://www.govinfo.gov/content/pkg/CFR-2023-title2-vol1/pdf/CFR-2023-title2-vol1.pdf,CFR | Title 2 | Grants and Agreements
https://www.govinfo.gov/content/pkg/CFR-2023-title1-vol1/pdf/CFR-2023-title1-vol1.pdf,CFR | Title 1 | General Provisions
https://www.govinfo.gov/content/pkg/CFR-2023-title4-vol1/pdf/CFR-2023-title4-vol1.pdf,CFR | Title 4 | Accounts
https://www.govinfo.gov/content/pkg/CFR-2023-title6-vol1/pdf/CFR-2023-title6-vol1.pdf,CFR | Title 6 | Domestic Security
https://www.govinfo.gov/content/pkg/CFR-2023-title10-vol1/pdf/CFR-2023-title10-vol1.pdf,CFR | Title 10 | Energy  Vol 1
https://www.govinfo.gov/content/pkg/CFR-2023-title10-vol2/pdf/CFR-2023-title10-vol2.pdf,CFR | Title 10 | Energy  Vol 2
https://www.govinfo.gov/content/pkg/CFR-2023-title10-vol3/pdf/CFR-2023-title10-vol3.pdf,CFR | Title 10 | Energy  Vol 3
https://www.govinfo.gov/content/pkg/CFR-2023-title10-vol4/pdf/CFR-2023-title10-vol4.pdf,CFR | Title 10 | Energy  Vol 4
