URLs,Name
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/100013_vol1.pdf?ver=2020-07-28-124331-653,DoDM 1000.13 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/100013_vol2.pdf?ver=2020-08-05-103656-203,DoDM 1000.13 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/101508r.pdf,DoD 1015.8-R
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/114502m.pdf?ver=2018-07-23-121425-917,DoDM 1145.02
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/122508m.pdf?ver=2020-02-21-125114-430,DoDM 1225.08
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/131201i.pdf,DoD 1312.1-I
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/132507m.pdf?ver=BQ6g0tgODoM03JNcFTew1Q%3d%3d,DoDM 1325.07
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/133218v1.PDF?ver=8N1yOAzj4qS7etEW6qbjQQ%3d%3d,DoDM 1332.18 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/133218_vol02.PDF?ver=GqDLuALlGinwiGFVTWtpdg%3d%3d,DoDM 1332.18 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/133810m.pdf?ver=8VcCCRKWq208DypftZ93Zg%3d%3d,DoDM 1338.10
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/134102_vol1.pdf?ver=2019-03-26-082013-227,"DoDM 1341.02
Volume 1"
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/134206m.pdf,DoD 1342.6-M
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/134212m.pdf,DoDM 1342.12
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/134833_Vol1.PDF?ver=86rp_OZEVxAiByOjPDSvgQ%3d%3d,DoDM 1348.33  Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/134833m_vol02.pdf?ver=RIGkWLKV5KEksAWyPRkw5g%3d%3d,DoDM 1348.33 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/134833_vol3.PDF?ver=sl9fvoQraRUNOROy77av7w%3d%3d,DoDM 1348.33 Volume 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/134833_Vol04.pdf?ver=FQIID7w7R2aQJNW0cAcRWw%3d%3d,DoDM 1348.33 Volume 4
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/140205_dodm_2017b.pdf,DoDM 1402.05
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/141608m.pdf,DoDM 1416.08
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/143204m.pdf?ver=2018-08-10-073633-150,DoDM 1432.04
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/302501vol1.pdf?ver=ED1sbmwfD9IDBwiBh1UJKg%3d%3d,DoDM 3025.01 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/302501_vol02.pdf,DoDM 3025.01 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/302501_vol03.pdf?ver=2019-06-06-125207-843,DoDM 3025.01 Volume 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/311511m.PDF?ver=nGnn4SgiJutWzdddEWtPsg%3d%3d,DoDM 3115.11
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/314503m.pdf?ver=2019-05-09-080357-840,DoDM 3145.03
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/315002m.pdf?ver=x45aWEVjJWieQw0euniZYw%3d%3d,DoDM 3150.02
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/315008m.pdf?ver=2018-10-05-090638-530,DoDM 3150.08
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/320014m_vol1.pdf?ver=2019-02-25-134057-707,DoDM 3200.14 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/320014_vol2.pdf?ver=2019-02-25-134054-783,DoDM 3200.14 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/330502m.PDF?ver=htjAjdM9jy1nORKnre-Ggg%3d%3d,DoDM 3305.02
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/330509m.PDF?ver=F-YbcXLRF_H3ZYlRm_Owsw%3d%3d,DoDM 3305.09
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/330510m.pdf?ver=2020-09-15-122425-393,DoDM 3305.10
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/330513m.pdf?ver=2018-04-26-081410-183,DoD 3305.13
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/410039m.pdf?ver=2019-06-04-090814-687,DoDM 4100.39
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/412024m.pdf?ver=2018-11-06-141612-307,DoDM 4120.24
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/414001m/414001m_vol01.PDF?ver=DyPumKaGU6dVcNzd42urcQ%3d%3d,DoDM 4140.01 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/414001m/414001m_vol02.pdf?ver=G5hlMU14vEkNrNGbf7stjw%3d%3d,DoDM 4140.01 Volume 2
