URLs,Name
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-12-006.pdf?ver=2019-03-19-105626-277,DTM-12-006
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-13-008.pdf?ver=VxROPIbAMgpYCv8NnHDHBg%3d%3d,DTM-13-008
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 17-003.PDF?ver=sA8owZ2yoXrNQlDIMkTiQQ%3d%3d,DTM-17-003
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-17-004.PDF?ver=Vdz8Vjus6e-8Au-gObuY8w%3d%3d,DTM-17-004
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-17-007.pdf?ver=bm1J4fBauKUg-6L-SICf0g%3d%3d,DTM-17-007
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-18-003.pdf?ver=nZVTfZn7j1BCff73rq4jag%3d%3d,DTM-18-003
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 18-005.PDF?ver=isPJRQVDqfBcGW4nPThdhg%3d%3d,DTM-18-005
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-19-001.pdf?ver=tUyyHYDkHx22SwB2FbpJuQ%3d%3d,DTM-19-001
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-19-008.PDF?ver=mcaHzlX7NXViQJpnpv6wiA%3d%3d,DTM-19-008
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 19-010.PDF?ver=VGMdG0QYlIIx7xa3psj3Jg%3d%3d,DTM-19-010
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 19-011.pdf?ver=U5t87BAXGAwbVZEW8outYA%3d%3d,DTM-19-011
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 19-012.PDF?ver=2xE60IwIUaxUd-vvROt7Fg%3d%3d,DTM-19-012
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-20-002.PDF?ver=Toe7_xJ7x74vadUDZRoHew%3d%3d,DTM-20-002
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-20-003.pdf?ver=2020-08-20-090910-250,DTM-20-003
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-21-001.PDF?ver=slh6KgokN6RRXWEmtvZ4HA%3d%3d,DTM-21-001
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-21-002.PDF?ver=E8jBww0gXFsEPv9xjykQBQ%3d%3d,DTM-21-002
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-21-003.PDF?ver=xiUs8CfIQgy6z9rGfasGgw%3d%3d,DTM-21-003
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 21-004.PDF?ver=g7MlmRNBxKsEXMsMcM2i8w%3d%3d,DTM-21-004
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-21-005.PDF?ver=q3IKpUB2z2sTDlPP8zAl7g%3d%3d,DTM-21-005
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-21-008.PDF?ver=TjuYtSAuAREhnyMvDwnroA%3d%3d,DTM-21-008
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-22-001.PDF?ver=TZGAkFg6RrjDM5l1-eBNRw%3d%3d,DTM-22-001
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-22-002.PDF?ver=bbyN1xBAOBFmOvZ0erRfZw%3d%3d,DTM-22-002
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-22-003.PDF?ver=AgubzYzYcmwOlda2FrE-vg%3d%3d,DTM-22-003
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-22-004.PDF?ver=7ewpJmILVWRgYJMhh5ElGw%3d%3d,DTM-22-004
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 22-005.PDF?ver=XQcL2RI4i-7vgPct7mRk2g%3d%3d,DTM-22-005
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 23-001.PDF?ver=MNugpajQ7C-GC455Y4HNqA%3d%3d,DTM-23-001
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 23-002.PDF?ver=DoYG_7hdH7LWqZuUw5oqJw%3d%3d,DTM-23-002
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 23-003.PDF?ver=8XgWTGttnLt7M3EVA5xhLg%3d%3d,DTM-23-003
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM-23-005.PDF?ver=D-pnmADxOJBnp-QhJqU29g%3d%3d,DTM-23-005
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 23-006.PDF?ver=GYcJrktLjH1mP0IgUh8Vyw%3d%3d,DTM-23-006
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dtm/DTM 23-007.pdf?ver=AWPNDpfi_IG6sBjE71iQdw%3d%3d,DTM-23-007
